price,maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_private_entrance,has_self_checkin,has_kitchen,has_bathtub,has_host_greeting,has_dishwasher,has_longterm,has_fireplace,has_parking,combine_beds_bedrooms_acommodates,general_score,nightly_price,host_active_years,review_count,room_type_1,room_type_2,room_type_3,minimum_nights_2.0,minimum_nights_3.0,minimum_nights_4.0,minimum_nights_5.0,minimum_nights_6.0,minimum_nights_7.0,minimum_nights_8.0,minimum_nights_8.5,property_type_category_Entire condo,property_type_category_Entire home,property_type_category_Entire rental unit,property_type_category_Other,property_type_category_Private Rooms,property_type_category_Room in,property_type_category_Shared Rooms,bathroom_count_1.0,bathroom_count_1.5,bathroom_count_2.0,bathroom_count_2.25,price_range_Low,price_range_Medium,price_range_High,price_range_Very High,location_cluster_1,location_cluster_2,location_cluster_3,location_cluster_4,location_cluster_5,location_cluster_6,location_cluster_7,location_cluster_8,location_cluster_9
200.0,-0.7599142554237448,-0.7907929324288148,-1.1052374935957285,-0.20720443139972686,0,-0.7650696846458428,0,0,1,0,0,0,0,0,0,0.7164153312645931,-0.022611658133138028,50.0,1.3086693078664022,-0.34442190725203026,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
155.0,-0.7599142554237448,-0.7907929324288148,-1.1052374935957285,-0.6602032311521403,0,-0.9010709467426703,0,0,1,0,0,0,0,0,0,-0.9934531133601594,0.7421890676448167,51.666666666666664,1.3086693078664022,-0.7478115675203384,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
783.5,-0.6698975406648574,-0.7907929324288148,0.7944138162546192,1.622213798369635,0,-0.18328650789830273,0,1,1,0,0,0,0,0,0,4.136152220514099,-1.1101723232302316,391.75,1.3086693078664022,1.292056600881902,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
125.0,-0.7922279479012942,-0.23198108546980706,1.0465002459977932,2.1710392673004435,0,0.6327210646826624,1,0,0,0,0,0,0,0,0,-0.6514794244352089,0.40539608748571704,62.5,0.9909067909104624,1.9289424068310848,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
82.0,-0.7437574091849701,-0.5113870089493109,-0.7361109357575093,2.1710392673004435,0,0.6100541876665246,0,0,0,0,1,0,0,0,0,-0.30950573551025845,-0.16995858695274335,27.333333333333332,2.2619568587342216,1.9237854367424272,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
155.0,0.013306243146186057,-0.7907929324288148,-0.5380430266735868,2.1710392673004435,0,0.4287191715374213,1,1,0,0,0,0,1,0,0,-0.6514794244352089,0.38434652622577253,51.666666666666664,1.9441943417782819,1.8825296760331685,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
79.0,0.8765434564750044,-0.23198108546980706,0.056160700578180706,2.1710392673004435,0,1.8340655465379725,1,0,0,0,1,0,0,0,0,-0.6514794244352089,0.503627373365456,39.5,1.9441943417782819,2.2022618215299246,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
59.0,0.8765434564750044,-0.371684047209559,0.2542286096621032,2.1710392673004435,0,2.506516231350064,1,0,0,0,1,0,0,0,0,-0.6514794244352089,0.18086743404631725,29.5,1.9441943417782819,2.3552519341600924,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
269.0,-0.7391411674024632,-0.7907929324288148,-0.9161726712883479,-0.6776262619118485,0,-0.5837346685167394,0,0,1,1,0,1,1,0,0,0.7164153312645931,-0.42255332207207125,89.66666666666667,1.6264318248223422,-0.6899389031920727,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
321.0,1.788251208520147,0.32683076148920065,0.5783397336176127,2.1710392673004435,0,1.531840519656133,0,0,1,1,1,0,0,0,0,0.37444164233964256,0.7702551493247448,107.0,1.6264318248223422,2.133502220347826,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
475.0,-0.7853035852275336,-0.7907929324288148,0.3442594774275225,2.0752125981220484,0,-0.19084213357034868,1,0,1,1,1,0,0,0,0,1.0583890201895436,-0.7172471797112819,158.33333333333334,1.6264318248223422,1.6627854505887136,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
130.0,-0.7668386180975054,-0.7907929324288148,-1.0422158861599349,-0.5208189850744747,0,-0.8481815670383483,0,0,1,0,1,0,0,0,0,1.7423363980394446,-1.2645357724698205,26.0,1.6264318248223422,-0.6211793020099746,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
146.0,0.03407933116746778,-0.09227812373005514,1.1725434608693803,2.1710392673004435,0,1.2296154927742944,1,0,0,0,0,0,0,0,0,-0.6514794244352089,0.38434652622577253,73.0,1.6264318248223422,2.0647426191657283,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
149.0,-0.7599142554237448,-0.7907929324288148,-1.0422158861599349,0.9078695372215986,0,-0.4855115347801417,1,0,1,1,1,0,0,0,0,0.7164153312645931,0.5808090979852505,49.666666666666664,1.6264318248223422,0.6359754062693836,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
200.0,-0.7945360687925477,-0.7907929324288148,-0.9972004522772253,-0.10266624684147761,0,-0.7575140589737968,0,0,1,0,1,1,0,0,0,-0.6514794244352089,-0.5558672100517094,100.0,1.6264318248223422,-0.25675341574485533,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
181.0,-0.7391411674024632,-0.371684047209559,-0.9161726712883479,2.1710392673004435,1,0.1567166473437661,0,1,0,1,0,0,0,0,0,-0.6514794244352089,0.17385091362633368,181.0,1.6264318248223422,1.8206460349692803,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
85.0,-0.7899198270100407,-0.09227812373005514,1.3976206302829286,2.1710392673004435,0,0.7309441984192604,0,0,0,0,0,0,0,0,0,-0.30950573551025845,-1.7767417631284472,42.5,1.9441943417782819,1.9512892772152668,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
